post_id,tag_id
VB64GDOCCXRZ,3
VB64GDOCCXRZ,12
VB64GDOCCXRZ,13
VB64GDOCCXRZ,20
VB64GDOCCXRZ,21
VB64GDOCCXRZ,23
VB64GDOCCXRZ,29
MFXT89RT3F26,6
MFXT89RT3F26,14
MFXT89RT3F26,16
MFXT89RT3F26,18
MFXT89RT3F26,27
MFXT89RT3F26,30
MFXT89RT3F26,34
FXH5BS36S88N,1
FXH5BS36S88N,4
FXH5BS36S88N,5
FXH5BS36S88N,20
FXH5BS36S88N,21
FXH5BS36S88N,28
FXH5BS36S88N,33
FXH5BS36S88N,38
RNMVD3GT119E,2
RNMVD3GT119E,11
RNMVD3GT119E,21
RNMVD3GT119E,23
RNMVD3GT119E,24
RNMVD3GT119E,26
RNMVD3GT119E,33
ZAWPJPLKQS5F,1
ZAWPJPLKQS5F,3
ZAWPJPLKQS5F,7
ZAWPJPLKQS5F,17
ZAWPJPLKQS5F,20
VGMIPSWRYVLN,15
VGMIPSWRYVLN,22
VGMIPSWRYVLN,37
VGMIPSWRYVLN,40
D3W70J8VW2IH,3
D3W70J8VW2IH,4
D3W70J8VW2IH,7
D3W70J8VW2IH,19
D3W70J8VW2IH,35
5YCALHLLBMIJ,6
5YCALHLLBMIJ,7
5YCALHLLBMIJ,9
5YCALHLLBMIJ,15
5YCALHLLBMIJ,17
5YCALHLLBMIJ,21
5YCALHLLBMIJ,22
5YCALHLLBMIJ,29
QLA95EDJ0YNV,12
QLA95EDJ0YNV,20
QLA95EDJ0YNV,27
QLA95EDJ0YNV,34
ALYZBI8SXKM3,1
ALYZBI8SXKM3,14
ALYZBI8SXKM3,17
ALYZBI8SXKM3,24
8F7OLR938W9W,15
8F7OLR938W9W,17
8F7OLR938W9W,27
FIYA2YNILLRT,3
FIYA2YNILLRT,22
FIYA2YNILLRT,24
FIYA2YNILLRT,40
P5ZCTK29AZO3,11
P5ZCTK29AZO3,12
P5ZCTK29AZO3,15
P5ZCTK29AZO3,19
P5ZCTK29AZO3,26
P5ZCTK29AZO3,33
P5ZCTK29AZO3,34
P5ZCTK29AZO3,38
FAIYEDVQI2PV,1
FAIYEDVQI2PV,3
FAIYEDVQI2PV,16
FAIYEDVQI2PV,29
FAIYEDVQI2PV,30
FAIYEDVQI2PV,35
FAIYEDVQI2PV,36
NCNHEXG7H6CK,1
NCNHEXG7H6CK,4
NCNHEXG7H6CK,5
NCNHEXG7H6CK,7
NCNHEXG7H6CK,14
NCNHEXG7H6CK,24
NCNHEXG7H6CK,27
U46XX11X16LG,3
U46XX11X16LG,13
U46XX11X16LG,17
U46XX11X16LG,25
1H192U8LDITX,2
1H192U8LDITX,3
1H192U8LDITX,24
1H192U8LDITX,27
1H192U8LDITX,37
8SFZOWOFCMT8,1
8SFZOWOFCMT8,9
8SFZOWOFCMT8,31
8SFZOWOFCMT8,32
0M3U2TAS3WU4,4
0M3U2TAS3WU4,7
0M3U2TAS3WU4,15
0M3U2TAS3WU4,20
0M3U2TAS3WU4,26
0M3U2TAS3WU4,34
0M3U2TAS3WU4,36
0M3U2TAS3WU4,39
QR8B1474XRTW,1
QR8B1474XRTW,6
QR8B1474XRTW,14
QR8B1474XRTW,20
QR8B1474XRTW,26
QR8B1474XRTW,27
QR8B1474XRTW,33
QR8B1474XRTW,39
1D9VYZA1ZLTR,2
1D9VYZA1ZLTR,13
1D9VYZA1ZLTR,17
1D9VYZA1ZLTR,21
1D9VYZA1ZLTR,28
1D9VYZA1ZLTR,33
1D9VYZA1ZLTR,34
AORPL9W3WFUR,5
AORPL9W3WFUR,7
AORPL9W3WFUR,11
AORPL9W3WFUR,21
AORPL9W3WFUR,25
