sales_detail_id,sales_id,product_id,quantity
39SLEPVQOIFYL6TP,DHC6VZ0E20M449,P8N7DNRO5Y,28
KAOGJK67FFAN9DGI,DHC6VZ0E20M449,I4IZKSYTCQ,87
8KP427LAUQSNTOFT,DHC6VZ0E20M449,6JWL966BHE,28
7AABUHG3Z1N05C3D,DHC6VZ0E20M449,3SRQL49KKL,61
XOGHRS25TKMBOE2K,DHC6VZ0E20M449,5DQIDYTO3T,53
B2YG5DDBJPMTD7XF,DHC6VZ0E20M449,TRMKLF7DTP,19
JURCYQ8NUC6DMBD0,DHC6VZ0E20M449,7JBBIUF3QU,82
JHQKHQB3XDD2C8R3,DHC6VZ0E20M449,G4J90885G4,66
8Q7BU54N1PJ6FGXN,DHC6VZ0E20M449,NMN07WNISB,6
QHYPIC2T7CWQKAV1,DHC6VZ0E20M449,NZI17482TU,37
8T78P9UDXDOA1Y4L,65NFJXD0D806WD,CEDDHWC59U,89
BG1OS2OZJL2G9WUC,65NFJXD0D806WD,7GJOXNES7Z,9
7X2ZEY3NRFG0GSX0,65NFJXD0D806WD,2809P8I08J,54
IPKWD8LCJRZ4T2IE,65NFJXD0D806WD,6COU7Q80MD,88
A07QNKP6CEJ7GSG3,65NFJXD0D806WD,VP81LYMP8C,73
KD6XI8L0ZO2PJPGY,65NFJXD0D806WD,DE020WWO3X,31
K3E1TX6WFEL0VZVX,65NFJXD0D806WD,URKO071N48,47
RI3A6NZX7T8114QW,S7ZTEYKIXGVABZ,E5YCEZGX28,77
6EMKA687YZSFTV43,S7ZTEYKIXGVABZ,0EXX8TRZKM,22
3A1EN8ACSOMFE8ED,S7ZTEYKIXGVABZ,CXK8E1UF38,4
ZNKEX6FOUW3WLHOB,S7ZTEYKIXGVABZ,GZ8D27ZLIC,60
1D30FOX4DPT63UO7,S7ZTEYKIXGVABZ,93HBO0EQ2D,83
GP7KLLOO2ZLBQKJP,S7ZTEYKIXGVABZ,DE020WWO3X,23
S731VSGYBLJT0PVR,S7ZTEYKIXGVABZ,WM06T7O5HU,85
27VHJLT3QZYN9179,S7ZTEYKIXGVABZ,22W47TXSZ0,94
WP3WXZ97ET7GW4G6,S7ZTEYKIXGVABZ,U0C8MV3ZTP,3
33EZPQCHAPTFODQM,S7ZTEYKIXGVABZ,0T9YTA9E3C,91
AVETAGL52ZAS6MGX,TU762KK5KKQGOZ,H1GE9OEZHN,77
NKTEMFKIMRBH476M,TU762KK5KKQGOZ,SGI0Y3UI73,15
RIEM4OVSSB8R8FCX,TU762KK5KKQGOZ,HGF68IXOY4,61
FBWT2ZRVRRFAK8CW,TU762KK5KKQGOZ,TZHCJSEL0G,69
T7THOU2398YNQYBA,TU762KK5KKQGOZ,NYCKKQ7VEN,43
44E0DVXFOJU21FHM,TU762KK5KKQGOZ,M8SMLGUTSE,2
DUWQXWL5AY85N18U,TU762KK5KKQGOZ,F8SX7C1C9V,34
4CEGWVQMXUD8GLDZ,TU762KK5KKQGOZ,3SRQL49KKL,68
0WUW9J6N27Z01Q3R,TU762KK5KKQGOZ,EMO06QNXKX,5
8G5SCF2FV9JU52ZZ,96CIVJ9B00NGRZ,SGZBTOFAVW,33
ZFM6KG1S0VDAVEHU,96CIVJ9B00NGRZ,CEDDHWC59U,12
QFHBR7JMQXIS4DL6,96CIVJ9B00NGRZ,VFJNG7S0CP,91
EFSU6KW77JVE42O5,96CIVJ9B00NGRZ,KJC0OZMC9P,1
NM8JTAZ8TUGHLMXB,96CIVJ9B00NGRZ,Q0WOPM4JJW,36
MCJ3OHQRNXXFEZ8K,96CIVJ9B00NGRZ,LZX0JLAH8X,24
X24APIOZ0E3BW1H5,96CIVJ9B00NGRZ,DTT0HA4RYE,37
XLOF0A20T8ZJLNO1,YKXK1V3Q2IHB2N,VFJNG7S0CP,32
C5K9ITX5TGZYHZSK,YKXK1V3Q2IHB2N,F8SX7C1C9V,82
A4OSZAN0QLMWRIC6,YKXK1V3Q2IHB2N,F8SX7C1C9V,44
QB0WA9AOK3V1IYEK,YKXK1V3Q2IHB2N,FZE9INV1KK,15
OIPJ857DGTQ8NA5P,YKXK1V3Q2IHB2N,ZYY0BEKQK6,73
1VSRWOX2VLC8EXPL,YKXK1V3Q2IHB2N,BN47KP5DYK,27
HS0Z73KRNUQF0LFW,YKXK1V3Q2IHB2N,0EXX8TRZKM,53
V22CPM24UWHV81SL,YKXK1V3Q2IHB2N,GGDTWZNYIC,53
7MJUZOFQ5XPRZIOO,YKXK1V3Q2IHB2N,TRMKLF7DTP,83
Y8VKGT87U19YBBSL,270ZBXLBJ0O0KC,AV62989B5M,92
9PHDA0GH941HU61Q,270ZBXLBJ0O0KC,0B2JY2H068,29
57WQY9REQJBI6NOT,270ZBXLBJ0O0KC,MCEZTT0O1J,22
FTM6C9G0PUPT3O7X,NRSPUZH23LXX8Q,FGDSVCL06J,50
R2YRMYK568EYDH7O,NRSPUZH23LXX8Q,LYOC2WABA2,42
QHUV9CZNHT2FTKOV,YVR0237V4KE3VS,ZYY0BEKQK6,73
